tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
randoop,GUAVA-61,com.google.common.base.CharMatcher,8,64,1210,104,0,0,0,0,178,0,0,110,0,0,0,0,0,0,0,0,120,0
randoop,GUAVA-134,com.google.common.collect.Ordering,9,70,1203,217,0,0,0,0,87,0,0,40,0,0,0,0,0,0,0,0,120,0
randoop,GUAVA-199,com.google.common.util.concurrent.Striped,8,69,1211,235,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,120,0
randoop,GUAVA-134,com.google.common.collect.Ordering,7,63,1204,107,0,0,0,0,87,0,0,40,0,0,0,0,0,0,0,0,120,0
randoop,GUAVA-199,com.google.common.util.concurrent.Striped,1,70,1252,226,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,120,0
randoop,GUAVA-61,com.google.common.base.CharMatcher,6,69,1218,107,0,0,0,0,178,0,0,110,0,0,0,0,0,0,0,0,120,0
randoop,GUAVA-199,com.google.common.util.concurrent.Striped,6,71,1262,141,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,120,0
randoop,GUAVA-61,com.google.common.base.CharMatcher,1,219,1475,88,0,0,0,0,178,0,0,110,0,0,0,0,0,0,0,0,120,0
randoop,GUAVA-46,com.google.common.collect.MinMaxPriorityQueue,2,239,123094,4720,2243,0,0,0,106,75,70.754715,53,29,54.71698,96,70,72.91667,70,72.91667,26,120,23
randoop,GUAVA-213,com.google.common.math.PairedStatsAccumulator,5,67,122000,2784,1348,0,0,0,56,52,92.85714,34,28,82.35294,69,66,95.652176,66,95.652176,3,120,14
randoop,GUAVA-82,com.google.common.primitives.Shorts,7,213,122852,6456,4197,0,0,0,103,99,96.11651,68,64,94.117645,133,130,97.74436,130,97.74436,3,120,42
randoop,GUAVA-232,com.google.common.io.ByteStreams,3,98,122580,6037,6387,0,0,0,140,28,20,60,9,15.000001,93,25,26.881721,25,26.881721,68,120,64
randoop,GUAVA-213,com.google.common.math.PairedStatsAccumulator,2,69,121908,2621,1380,0,0,0,56,52,92.85714,34,28,82.35294,69,66,95.652176,66,95.652176,3,120,14
randoop,GUAVA-199,com.google.common.util.concurrent.Striped,7,231,1363,282,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,120,0
