tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
bbc,FASTJSON-26,com.alibaba.fastjson.parser.deserializer.MapDeserializer,1,319,31997,16445,15,0,0,0,198,18,9.090909,126,13,10.31746,138,16,11.594203,16,11.594203,122,30,2
bbc,SPOON-103,spoon.support.reflect.code.CtAssignmentImpl,3,322,34288,20,2,1,0,0,45,0,0.0,18,0,0.0,29,0,0.0,0,0.0,29,30,2
bbc,SPOON-151,spoon.support.compiler.jdt.JDTBatchCompiler,4,312,33942,151041,24,0,1,0,76,24,31.578945,40,12,30.000002,39,14,35.897438,14,35.897438,25,30,2
bbc,FASTJSON-17,com.alibaba.fastjson.serializer.ClobSeriliazer,4,330,30409,14200,5,0,0,0,24,5,20.833332,4,2,50.0,6,2,33.333336,2,33.333336,4,30,2
bbc,SEATA-15,io.seata.core.rpc.netty.RpcServer,10,312,33958,29670,1,0,0,0,102,1,0.9803922,44,0,0.0,42,0,0.0,0,0.0,42,30,2
bbc,SEATA-29,io.seata.core.rpc.DefaultServerMessageListenerImpl,9,321,31009,8019,9,0,3,0,68,24,35.294117,24,5,20.833332,22,5,22.727274,5,22.727274,17,30,2
bbc,SPOON-13,spoon.support.reflect.code.CtForImpl,10,330,61008,20,0,0,0,0,58,0,0.0,26,0,0.0,0,0,0.0,0,0.0,0,30,0
bbc,SPOON-151,spoon.support.compiler.jdt.JDTBatchCompiler,1,315,33701,146185,25,0,2,0,76,24,31.578945,40,12,30.000002,39,14,35.897438,14,35.897438,25,30,2
bbc,SPOON-155,spoon.support.compiler.jdt.JDTSnippetCompiler,8,327,30029,159324,20,0,3,0,25,19,76.0,8,7,87.5,6,0,0.0,0,0.0,6,30,2
bbc,SPOON-165,spoon.reflect.visitor.AstParentConsistencyChecker,5,315,29339,9624,9,0,0,0,15,15,100.0,8,7,87.5,6,6,100.0,6,100.0,0,30,2
bbc,SPOON-107,spoon.reflect.visitor.filter.CompositeFilter,5,315,35954,26,15,1,0,0,26,0,0.0,20,0,0.0,26,0,0.0,0,0.0,26,30,2
bbc,SEATA-8,io.seata.core.protocol.MergedWarpMessage,2,317,29201,8463,17,0,2,0,46,42,91.30435,14,10,71.42857,23,23,100.0,23,100.0,0,30,2
bbc,SEATA-24,io.seata.core.protocol.transaction.BranchReportRequest,6,327,29316,8754,32,0,2,0,88,87,98.86364,22,21,95.454544,30,29,96.666664,29,96.666664,1,30,2
bbc,FASTJSON-59,com.alibaba.fastjson.asm.Type,3,345,31053,1796,79,0,2,0,93,0,0.0,62,0,0.0,78,0,0.0,0,0.0,78,30,2
bbc,SEATA-25,io.seata.core.rpc.netty.NettyPoolableFactory,6,319,29431,50266,21,0,0,0,60,27,45.0,36,17,47.22222,30,17,56.666668,17,56.666668,13,30,2
bbc,SPOON-19,spoon.reflect.visitor.filter.LineFilter,1,333,28992,8239,2,0,0,0,22,10,45.454548,16,5,31.25,16,6,37.5,6,37.5,10,30,2
bbc,FASTJSON-9,com.alibaba.fastjson.parser.deserializer.JavaObjectDeserializer,10,327,30802,15156,4,0,0,0,19,6,31.578945,18,2,11.111112,15,9,60.000004,9,60.000004,6,30,2
bbc,FASTJSON-17,com.alibaba.fastjson.serializer.ClobSeriliazer,10,340,30391,13956,5,0,0,0,24,5,20.833332,4,2,50.0,6,2,33.333336,2,33.333336,4,30,2
bbc,GUAVA-71,com.google.common.collect.SparseImmutableTable,3,303,30344,6569,2,0,0,0,63,22,34.920635,14,5,35.714287,16,7,43.75,7,43.75,9,30,2
bbc,SPOON-9,spoon.support.reflect.cu.position.SourcePositionImpl,9,353,29915,8266,68,0,4,0,78,77,98.71795,56,50,89.28571,93,92,98.92473,92,98.92473,1,30,2
bbc,SEATA-32,io.seata.core.protocol.transaction.GlobalBeginResponse,9,330,29069,8422,14,0,2,0,36,36,100.0,12,12,100.0,17,17,100.0,17,100.0,0,30,2
bbc,FASTJSON-26,com.alibaba.fastjson.parser.deserializer.MapDeserializer,9,318,32140,16315,13,0,0,0,198,16,8.080808,126,12,9.523809,138,14,10.144927,14,10.144927,124,30,2
bbc,SPOON-101,spoon.reflect.visitor.PrintingContext,5,311,29376,24,30,1,0,0,34,0,0.0,24,0,0.0,34,0,0.0,0,0.0,34,30,2
bbc,GUAVA-45,com.google.common.primitives.Shorts,6,315,29663,10708,69,0,0,0,103,102,99.02912,68,67,98.52941,133,133,100.0,133,100.0,0,30,2
bbc,SEATA-9,io.seata.core.rpc.netty.RpcServerHandler,8,305,28650,7375,8,0,0,0,27,20,74.07407,8,1,12.5,6,3,50.0,3,50.0,3,30,2
bbc,GUAVA-78,com.google.common.collect.Queues,3,308,29697,5302,26,0,0,0,75,57,76.0,26,21,80.769226,56,48,85.71429,48,85.71429,8,30,2
bbc,GUAVA-6,com.google.common.base.Throwables,3,305,28308,12,0,0,0,0,92,0,0.0,38,0,0.0,0,0,0.0,0,0.0,0,30,0
bbc,FASTJSON-32,com.alibaba.fastjson.support.hsf.HSFJSONUtils,6,331,31854,22683,10,0,0,0,70,23,32.857143,28,10,35.714287,20,0,0.0,0,0.0,20,30,2
bbc,GUAVA-114,com.google.common.util.concurrent.AtomicDoubleArray,10,321,29473,4533,30,0,0,0,59,55,93.220345,14,10,71.42857,34,33,97.05882,33,97.05882,1,30,2
bbc,SEATA-12,io.seata.core.rpc.netty.ShutdownHook,7,319,28682,26550,8,0,4,0,25,25,100.0,8,7,87.5,7,7,100.0,7,100.0,0,30,2
bbc,FASTJSON-17,com.alibaba.fastjson.serializer.ClobSeriliazer,2,327,30372,14117,7,0,0,0,24,5,20.833332,4,2,50.0,6,2,33.333336,2,33.333336,4,30,2
bbc,SEATA-26,io.seata.core.rpc.netty.TmRpcClient,6,325,10095,23290,1,0,0,0,162,1,0.61728394,62,0,0.0,64,0,0.0,0,0.0,64,30,2
bbc,GUAVA-85,com.google.common.base.CaseFormat,4,332,32840,1952,22,0,4,0,30,30,100.0,12,12,100.0,15,15,100.0,15,100.0,0,30,2
bbc,SEATA-16,io.seata.core.store.StoreMode,4,314,28390,643,3,0,0,0,7,0,0.0,4,0,0.0,5,0,0.0,0,0.0,5,30,2
bbc,GUAVA-21,com.google.common.base.internal.Finalizer,1,316,61009,10,0,0,0,0,65,0,0.0,20,0,0.0,0,0,0.0,0,0.0,0,30,0
bbc,SEATA-19,io.seata.core.protocol.RegisterRMRequest,2,302,29211,8371,23,0,0,0,62,62,100.0,26,26,100.0,46,46,100.0,46,100.0,0,30,2
bbc,GUAVA-78,com.google.common.collect.Queues,9,322,30244,11,22,1,0,0,75,0,0.0,26,0,0.0,56,0,0.0,0,0.0,56,30,2
bbc,FASTJSON-31,com.alibaba.fastjson.serializer.ASMSerializerFactory,1,369,37672,16411,30,0,0,0,1364,214,15.68915,398,34,8.542713,404,59,14.60396,59,14.60396,345,30,2
bbc,SEATA-25,io.seata.core.rpc.netty.NettyPoolableFactory,3,325,29212,50577,24,0,0,0,60,24,40.0,36,16,44.444447,30,16,53.333336,16,53.333336,14,30,2
bbc,FASTJSON-79,com.alibaba.fastjson.parser.ParserConfig,7,340,35715,40553,155,0,69,0,518,410,79.15058,410,271,66.097565,22,0,0.0,0,0.0,22,30,2
